lon,lat
238.831167,35.636583
238.714806,35.664333
238.68152800000001,35.714389
238.666778,35.783389
238.534722,35.88775
238.494778,36.0
238.426333,36.021667
238.36475000000002,36.119306
238.281583,36.195
238.18555600000002,36.234167
238.148306,36.276611
238.096944,36.304278
238.095556,36.392444
238.043972,36.5205
238.072806,36.526444
238.069083,36.552
238.01963899999998,36.580472
238.064667,36.639
238.111944,36.602556
238.140028,36.612417
238.18386099999998,36.68075
238.209722,36.807444
238.13644399999998,36.931556
238.069722,36.977528
238.027444,36.954194
237.98652800000002,36.964222
237.948806,36.947417
237.864,36.9665
237.774139,37.024556
237.705778,37.107056
237.666639,37.110389
237.632028,37.171639
237.592889,37.196639
237.577917,37.25
237.599583,37.3575
237.543722,37.486667
237.521611,37.502028
237.49747200000002,37.494583
237.47875,37.534167
237.477889,37.594139
237.499528,37.601611
237.505361,37.649139
237.484528,37.781611
237.51161100000002,37.789583
237.521611,37.809556
237.584111,37.812083
237.612889,37.791667
237.61533300000002,37.748333
237.643722,37.728306
237.607861,37.7075
237.61961100000002,37.671611
237.606222,37.665833
237.62622199999998,37.661611
237.607917,37.642472
237.611639,37.629583
237.636222,37.6275
237.64202799999998,37.608306
237.622083,37.606639
237.637472,37.592889
237.74330600000002,37.57125
237.751639,37.552083
237.772028,37.551667
237.762472,37.530444
237.779111,37.545444
237.77249999999998,37.534556
237.803694,37.536694
237.78413899999998,37.50375
237.799972,37.524583
237.83333299999998,37.497917
237.863306,37.507944
237.8795,37.469972
237.90747199999998,37.451222
237.968222,37.449611
237.964139,37.459583
237.99105600000001,37.464167
237.949139,37.464583
237.952444,37.492889
237.89119399999998,37.499139
237.850417,37.585806
237.83625,37.67
237.809556,37.704111
237.79911099999998,37.712083
237.78580599999998,37.699583
237.756667,37.717917
237.737889,37.743333
237.759917,37.750417
237.710778,37.764556
237.700833,37.780417
237.667889,37.781639
237.67791699999998,37.804139
237.657083,37.805806
237.687917,37.819972
237.668722,37.824167
237.702056,37.831639
237.686222,37.836639
237.700361,37.840806
237.677861,37.871667
237.69125,37.871639
237.67458299999998,37.89
237.685361,37.894972
237.629167,37.923722
237.63655599999998,37.905389
237.604139,37.905389
237.612861,37.919972
237.57702799999998,37.946667
237.570806,37.966278
237.601639,37.952889
237.599111,37.969556
237.632833,37.978306
237.633306,38.014833
237.662528,38.004083
237.700667,38.014111
237.74302799999998,38.060833
237.677306,38.115778
237.590917,38.154917
237.588972,38.13725
237.553472,38.114028
237.499944,38.110944
237.48425,38.129139
237.51422200000002,38.081417
237.500111,38.017417
237.55200000000002,37.988333
237.497861,37.969972
237.52083299999998,37.942056
237.48708299999998,37.941639
237.561222,37.881667
237.537,37.8725
237.541639,37.862056
237.51077800000002,37.89375
237.496222,37.895
237.502472,37.877861
237.476639,37.892056
237.52119399999998,37.859194
237.527861,37.833278
237.471611,37.815444
237.434111,37.85375
237.34825,37.900389
237.27166699999998,37.902889
237.140028,38.019028
237.062444,38.034944
237.02011099999999,38.013278
237.03413899999998,37.989556
236.976972,37.994417
237.04825,38.151667
237.003333,38.237222
237.025083,38.236583
237.02011099999999,38.269056
236.973083,38.310083
236.933278,38.301778
236.919194,38.322778
236.927472,38.363472
236.86736100000002,38.452972
236.664667,38.565944
236.538389,38.718111
236.395417,38.807778
236.26833299999998,38.921556
236.255722,38.956139
236.302528,39.0025
236.30925000000002,39.035139
236.278944,39.134111
236.22602799999999,39.198389
236.224028,39.239056
236.194806,39.279417
236.204583,39.300139
236.187639,39.306389
236.198194,39.318306
236.170806,39.348389
236.18991699999998,39.428278
236.177389,39.438583
236.232,39.558083
236.209028,39.601944
236.203361,39.687389
236.161778,39.738472
236.147528,39.830139
236.093139,39.85925
236.069444,39.907972
235.961028,40.015
235.924361,40.02475
235.919194,40.064167
235.889028,40.103639
235.810972,40.129972
235.635083,40.260361
235.648472,40.324028
235.6285,40.388194
235.5875,40.441667
235.609083,40.513083
235.727444,40.709222
235.764333,40.759333
235.776472,40.742861
235.798139,40.750639
235.81925,40.814889
235.777139,40.760028
235.76516700000002,40.7685
235.861833,40.926861
235.886944,41.028861
235.86030599999998,41.057472
235.84625,41.052472
235.835722,41.140694
235.85619400000002,41.147361
235.893111,41.227861
235.935972,41.444694
235.925278,41.544056
235.898694,41.567667
235.850694,41.723111
235.81508300000002,41.750028
235.74422199999998,41.770611
235.792639,41.895972
235.79008299999998,41.997917
235.729222,42.044361
235.70825000000002,42.0415
235.645139,42.102194
235.637472,42.181028
235.586,42.252278
235.59022199999998,42.292139
235.565611,42.32925
235.56836099999998,42.419111
235.5845,42.426
235.566083,42.420167
235.562444,42.438472
235.608778,42.569083
235.589917,42.596028
235.59725,42.625389
235.582083,42.661528
235.54744399999998,42.674694
235.524306,42.73325
235.484611,42.73525
235.46522199999998,42.813333
235.431556,42.839167
235.50336099999998,42.923722
235.55,43.023611
235.61736100000002,43.269972
235.59738900000002,43.306333
235.613111,43.330778
235.653028,43.352333
235.680111,43.351528
235.679944,43.340889
235.75883299999998,43.425917
235.783361,43.423444
235.79233299999999,43.374306
235.824667,43.383444
235.80136099999999,43.401
235.80997200000002,43.421556
235.778139,43.43625
235.80200000000002,43.468139
235.66091699999998,43.357472
235.7365,43.483833
235.793278,43.668667
235.813306,43.67975
235.793972,43.673889
235.864194,44.015417
235.873639,44.008306
235.890417,44.314944
235.915333,44.419111
235.973722,44.4375
235.951639,44.450389
235.91702800000002,44.425833
235.91452800000002,44.4975
235.93125,44.614167
235.951611,44.626222
235.986556,44.602889
235.996222,44.62
235.953306,44.632083
235.93497200000002,44.621222
235.94205599999998,44.666611
235.918722,44.6775
235.94205599999998,44.732472
235.930389,44.826694
235.973623,44.922265
235.97163899999998,44.892056
235.987028,44.909167
235.972861,44.929167
235.99480599999998,45.039444
235.98222199999998,45.052306
236.030472,45.160667
236.01897200000002,45.217444
236.04333300000002,45.274528
236.028944,45.335028
235.991194,45.339972
236.026167,45.356167
236.040333,45.415972
236.037778,45.375306
236.067472,45.402861
236.02408300000002,45.489167
236.043083,45.511833
236.110083,45.472583
236.13483300000001,45.498611
236.109694,45.509278
236.09152799999998,45.547556
236.103667,45.560806
236.08527800000002,45.552778
236.041472,45.571278
236.074722,45.68975
236.106222,45.706917
236.069139,45.69175
236.062667,45.658444
236.054944,45.731361
236.015611,45.767306
236.03758299999998,45.843583
236.006444,45.947611
236.059889,45.979722
236.08125,46.014972
236.052056,46.125833
235.976639,46.229917
236.005806,46.229583
236.01161100000002,46.208694
236.04825,46.207944
236.137472,46.15125
236.175833,46.170389
236.183361,46.150389
236.18658299999998,46.169556
236.131667,46.190417
236.220778,46.197917
236.241583,46.213722
236.239556,46.195833
236.273306,46.171222
236.371694,46.185361
236.369194,46.195417
236.404111,46.185361
236.457472,46.237056
236.50661100000002,46.234556
236.558333,46.202056
236.568694,46.244167
236.519972,46.27375
236.416639,46.259556
236.3275,46.267056
236.314528,46.307444
236.293278,46.312056
236.27083299999998,46.288722
236.250833,46.292083
236.235,46.274528
236.195806,46.284556
236.124167,46.241222
236.076639,46.252056
236.00661100000002,46.312917
235.95191699999998,46.300222
235.962806,46.267694
235.943083,46.278472
235.911694,46.270639
235.941472,46.345611
235.933167,46.636306
235.953306,46.644222
235.971722,46.632944
235.952917,46.624139
235.952833,46.638722
235.94905599999998,46.624528
235.97686099999999,46.580833
235.985139,46.381333
236.03080599999998,46.385417
236.04744399999998,46.369611
236.047056,46.403306
236.076194,46.421667
236.06491699999998,46.460444
236.078306,46.432889
236.113694,46.432472
236.057028,46.474139
236.077444,46.512028
236.102889,46.505833
236.107056,46.540833
236.045417,46.603306
236.03875,46.6375
236.083306,46.612889
236.060417,46.636639
236.0725,46.673778
236.142417,46.702889
236.18125,46.690833
236.1125,46.750389
236.07411100000002,46.724583
236.024167,46.73875
236.026167,46.714194
236.012028,46.714972
236.027472,46.702889
235.908028,46.727667
235.861639,46.905528
235.889139,46.915
235.910889,46.894806
235.90550000000002,46.869083
235.956056,46.857167
235.936333,46.863667
235.949833,46.890028
236.000417,46.903278
235.99136099999998,46.914111
236.124167,46.942083
236.19375,46.971667
236.165861,46.96125
236.052472,46.968694
236.084528,46.977472
235.986722,46.984111
235.971528,47.029417
235.87925,47.041194
235.84858300000002,47.021111
235.87324999999998,46.950194
235.840139,46.946444
235.849111,46.932639
235.826139,46.927333
235.823083,47.098389
235.79399999999998,47.208194
235.758528,47.290917
235.720472,47.301917
235.699028,47.346639
235.714889,47.347917
235.678472,47.357444
235.649972,47.539194
235.574667,47.736167
235.5445,47.764694
235.519361,47.765528
235.50661100000002,47.818472
235.45713899999998,47.832972
235.437139,47.8655
235.386861,47.871194
235.321,47.9655
235.31194399999998,48.098306
235.26441699999998,48.163306
235.300278,48.193333
235.292778,48.239139
235.34283299999998,48.325
235.268722,48.381667
235.324139,48.393694
235.36325,48.388722
235.379972,48.367917
235.435861,48.367889
235.604917,48.288722
235.723333,48.255361
235.751611,48.267111
235.894028,48.21875
235.89072199999998,48.200361
235.950667,48.177056
236.018194,48.165333
236.189833,48.156167
236.295722,48.168667
236.373167,48.139472
236.452361,48.152
236.491583,48.132861
236.59569399999998,48.142806
236.539444,48.134944
236.585722,48.117028
236.752389,48.116167
236.845722,48.175361
236.896528,48.186167
236.81530600000002,48.148222
236.849,48.160333
236.87908299999998,48.153694
236.934889,48.121167
236.955306,48.057417
236.994,48.024528
236.992806,48.069944
236.959028,48.082
237.082389,48.096194
237.07363900000001,48.063278
237.125722,48.047
237.141111,48.019917
237.11327799999998,47.991278
237.163194,48.008694
237.17197199999998,48.042444
237.10613899999998,48.076556
237.113583,48.10575
237.16072200000002,48.137861
237.24319400000002,48.145306
237.24861099999998,48.116611
237.19858299999999,48.08575
237.249028,48.027833
237.27277800000002,48.025722
237.294972,47.975417
237.319556,47.969972
237.31863900000002,47.924167
237.30041699999998,47.916611
237.341667,47.932083
237.354917,47.894583
237.38952799999998,47.8875
237.35166700000002,47.863722
237.307417,47.868722
237.310361,47.831694
237.252028,47.803306
237.2545,47.776639
237.21622200000002,47.723278
237.227889,47.692472
237.187444,47.681222
237.16702800000002,47.691667
237.212861,47.805861
237.18574999999998,47.845389
237.177861,47.792472
237.14741700000002,47.779556
237.140806,47.827056
237.14788900000002,47.739972
237.126639,47.744556
237.116194,47.731667
237.096222,47.645806
237.07077800000002,47.650389
237.01738899999998,47.614583
236.959111,47.550778
236.943028,47.503972
236.88477799999998,47.463139
236.841444,47.3535
236.87277799999998,47.341611
236.89375,47.359278
236.975082,47.353188
237.08889,47.390255
237.15770700000002,47.433804
237.15848499999998,47.446503
237.024879,47.395821
236.970924,47.359253
236.94937099999999,47.363873
236.961746,47.375748
236.886667,47.373944
236.878111,47.390639
236.912611,47.446194
236.944028,47.453917
236.931417,47.465917
237.034917,47.58625
237.15,47.652083
237.17291699999998,47.654167
237.161611,47.638694
237.24824999999998,47.671222
237.260361,47.738333
237.389139,47.857889
237.419111,47.85875
237.421667,47.815389
237.432806,47.823278
