-122.01,49.157,1.47,1.43,0.22,0.21,0
-122.01,49.157,1.47,1.43,0.22,0.21,0
-123.98,45.486,9.3329,4.9866,0.21,0.21,0
-123.98,45.486,9.3329,4.9866,0.21,0.21,0
-123.21,46.105,6.3879,2.8869,0.71,0.75,0
-122.58,45.326,4.3661,4.5949,1,1.26,0
-122.24,45.54,3.9236,0.97723,0.24,0.26,0
-122.36,45.296,5.0227,1.5964,0.49,0.49,0
-122.24,45.54,3.9236,0.97718,0.24,0.26,0
-123.67,48.465,5.0068,2.1203,0.69,0.73,0
-123.7,46.973,7.8011,3.8253,0.46,0.55,0
-122.83,44.208,7.3285,3.3224,0.82,0.98,0
-122.83,48.677,3.4687,1.6551,0.98,1.16,0
-123.3,44.586,6.7543,2.9762,0.2,0.18,0
-123.3,44.586,6.7544,2.976,0.2,0.18,0
-123.3,44.586,6.7545,2.976,0.2,0.18,0
-123.3,44.586,6.7545,2.976,0.2,0.18,0
-122.69,48.217,4.1257,1.9058,0.38,0.38,0
-122.94,42.397,4.485,3.1149,0.7,0.83,0
-122.24,45.539,3.9243,0.97687,0.24,0.26,0
-122.68,48.217,4.1258,1.9058,0.38,0.38,0
-122.26,46.84,3.7019,1.717,0.34,0.33,0
-122.26,46.84,3.7019,1.717,0.34,0.33,0
-122.26,46.84,3.7019,1.717,0.34,0.33,0
-124.18,43.124,6.3754,5.1944,0.28,0.3,0
-120.26,46.979,2.4999,0.3592,0.78,0.83,0
-121.94,43.53,3.8,1.9434,0.58,0.67,0
-123.32,43.986,5.6532,4.6185,0.58,0.67,0
-122.92,46.283,5.0822,2.4872,0.74,0.8,0
-122.24,44.119,5.3793,1.9317,0.92,1,0
-123.6,44.377,6.6727,3.7333,0.25,0.25,0
-122.5,45.611,6.0955,2.0661,0.32,0.32,0
-122.5,45.611,6.0955,2.0661,0.32,0.32,0
-122.5,45.611,6.0955,2.0661,0.32,0.32,0
-122.5,45.611,6.0955,2.0661,0.32,0.32,0
-121.55,45.711,2.8562,0.66815,0.23,0.24,0
-121.18,45.618,3.2902,0.5536,0.3,0.35,0
-121.6,48.255,0.19522,1.9422,1.2,1.65,0
-121.66,48.273,1.806,5.0483,0.99,1.08,0
-123.39,43.242,1.8188,5.7603,0.58,0.65,0
-124.32,49.599,3.29,3.66,0.47,0.5,0
-122.55,47.968,9.214,4.1332,1.91,2.39,0
-122.55,47.967,9.2141,4.1331,1.91,2.39,0
-123.24,43.119,4.4216,3.3374,0.21,0.2,0
-123.46,43.126,4.0138,4.1379,0.72,0.79,0
